service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,1,20200519,20200817
10,0,0,0,0,1,0,0,20200519,20200817
13,1,1,1,1,1,0,0,20200519,20200817
14,0,0,0,0,0,1,0,20200519,20200817
15,1,1,1,1,1,0,0,20200519,20200817
19,0,0,1,0,0,0,0,20200519,20200817
20,0,0,0,0,0,0,1,20200519,20200817
21,0,0,0,0,0,0,1,20200519,20200817
23,1,0,0,0,0,0,0,20200519,20200817
25,0,0,0,1,0,0,0,20200519,20200817
28,1,1,1,1,1,0,0,20200519,20200817
29,1,1,1,1,1,0,0,20200519,20200817
31,1,0,0,0,0,0,0,20200519,20200817
32,1,1,1,1,1,0,0,20200519,20200817
33,0,0,0,0,0,1,1,20200519,20200817
34,0,1,0,0,0,0,0,20200519,20200817
35,0,0,0,1,0,0,0,20200519,20200817
36,0,0,0,0,1,0,0,20200519,20200817
38,1,1,1,1,0,0,0,20200519,20200817
39,0,1,1,1,1,0,0,20200519,20200817
40,1,1,1,0,1,0,0,20200519,20200817
41,1,0,1,1,1,0,0,20200519,20200817
42,1,1,0,1,1,0,0,20200519,20200817
46,1,0,1,1,1,0,0,20200519,20200817
53,1,1,1,0,0,0,0,20200519,20200817
60,1,1,1,1,0,0,0,20200519,20200817
61,1,0,1,0,1,0,0,20200519,20200817
62,0,1,0,1,0,0,0,20200519,20200817
71,1,0,0,0,0,0,0,20200519,20200817
72,0,1,0,0,0,0,0,20200519,20200817
73,0,0,1,0,0,0,0,20200519,20200817
80,1,0,0,0,1,0,0,20200519,20200817
88,0,0,0,0,0,0,1,20200519,20200817
127,0,0,0,0,0,1,0,20200519,20200817
128,0,0,0,0,0,0,1,20200519,20200817
134,1,0,0,0,0,0,0,20200519,20200817
143,1,1,1,1,0,0,0,20200519,20200817
180,1,1,1,1,1,0,0,20200519,20200817
183,0,0,0,0,0,1,1,20200519,20200817
184,0,0,0,0,0,0,1,20200519,20200817
202,1,0,1,0,0,0,0,20200519,20200817
203,0,0,0,0,0,0,0,20200519,20200817
204,0,0,0,0,0,0,0,20200519,20200817
205,0,0,0,0,0,0,0,20200519,20200817
206,0,0,0,0,0,0,0,20200519,20200817
207,0,0,0,0,0,0,0,20200519,20200817
208,0,0,0,0,0,0,0,20200519,20200817
209,0,0,0,0,0,0,0,20200519,20200817
210,0,0,0,0,0,0,0,20200519,20200817
211,0,0,0,0,0,0,0,20200519,20200817
212,0,0,0,0,0,0,0,20200519,20200817
213,0,0,0,0,0,0,0,20200519,20200817
215,0,0,0,0,0,0,0,20200519,20200817
216,0,0,0,0,0,0,0,20200519,20200817
217,0,0,0,0,0,0,0,20200519,20200817
218,0,0,0,0,0,0,0,20200519,20200817
219,0,0,0,0,0,0,0,20200519,20200817
220,0,0,0,0,0,0,0,20200519,20200817
221,0,0,0,0,0,0,0,20200519,20200817
223,0,0,0,0,0,0,0,20200519,20200817
224,0,0,0,0,0,0,0,20200519,20200817
225,0,0,0,0,0,0,0,20200519,20200817
226,0,0,0,0,0,0,0,20200519,20200817
